id,gender,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
174,male,1.1241759,-0.251953,-0.1424341,-0.47291082,-0.5829,-0.2559954,0.10143655,0.23056737,0.16483034
175,male,1.4829824,0.42301545,0.05069755,-0.39735857,-0.62130547,-0.18062226,0.2012754,0.6832764,-0.05949467
176,male,1.4818281,-0.06945347,-0.3099243,0.111662894,-0.48070285,-0.3000741,-0.100854166,0.54258937,0.16484366
177,male,1.4751892,-0.14309229,-0.37294662,0.21816725,-0.48334026,-0.30936494,-0.07329097,0.6379522,0.1757814
178,male,1.4887515,-0.017102329,-0.27300838,0.050628353,-0.4567088,-0.29331446,-0.12219674,0.48665252,0.14988917
179,male,1.3998024,-0.17303227,-0.31377366,0.009445372,-0.55231833,-0.2976962,-0.044935927,0.5000604,0.17328171
180,male,1.3943847,-0.24076225,-0.37119448,0.10073099,-0.5653946,-0.30684245,-0.025247967,0.58482176,0.18114448
181,male,1.3917753,-0.14782614,-0.28618026,-0.044477686,-0.540257,-0.29307136,-0.05635236,0.4538332,0.1654278
182,male,1.1576904,-0.22048391,-0.14766678,-0.45121488,-0.5727777,-0.2564918,0.078947164,0.2451439,0.15012221
183,male,1.6318814,0.6101437,0.0045019747,0.11269457,-0.6430642,-0.15785831,0.48308402,1.4093274,-0.085329525
184,male,1.2402583,0.19894001,0.064759456,-0.47614685,-0.66510713,-0.17531368,0.38957846,0.6958645,0.02181608
185,male,1.3507515,0.5053104,0.16562667,-0.3268591,-0.8043873,-0.11517713,0.71229327,1.2725433,-0.08088373
186,male,1.584033,0.9272411,0.29242948,-0.36654288,-0.71565026,-0.0805736,0.61475223,1.3065988,-0.21572845
187,male,1.1404957,0.76478714,0.52284974,-0.7903279,-0.96769696,-0.012910251,1.1288258,1.3908261,-0.14582172
188,male,1.1956505,-0.07181968,-0.081366174,-0.43941608,-0.5842242,-0.22926494,0.18146029,0.4061888,0.10549983
189,male,1.6575828,0.65314466,0.04987066,-0.12333059,-0.6071747,-0.1637101,0.2825931,1.0641508,-0.11750506
190,male,1.7212492,0.17726699,-0.3758419,0.4737452,-0.38075438,-0.29492196,-0.1284107,0.95255226,0.050310954
191,male,1.4819716,0.45376834,0.014146327,-0.06305597,-0.7468882,-0.16002253,0.5150545,1.3067566,-0.07077747
192,male,1.0040135,-0.08979512,0.06630342,-0.743719,-0.6114226,-0.20223732,0.27494144,0.23491912,0.12446114
193,male,0.8871869,-0.42794824,-0.08104511,-0.6807614,-0.71807134,-0.23583272,0.3217813,0.22093123,0.21137077
194,male,1.3075035,0.12063245,-0.034827746,-0.29658273,-0.62729573,-0.20796739,0.29233882,0.6694185,0.08383878
195,male,0.82411826,-0.4238014,-0.026957914,-0.8011377,-0.7492241,-0.21985275,0.38716203,0.1986755,0.1990507
196,male,1.135288,-0.36410302,-0.24543774,-0.30577138,-0.67131406,-0.276119,0.1236013,0.3968444,0.18175942
197,male,1.322424,-0.20259194,-0.28654373,-0.0069914404,-0.58974886,-0.28450972,0.07848436,0.5959336,0.18260884
198,male,1.7150068,0.052960563,-0.42771503,0.5640209,-0.52993846,-0.31188133,-0.053952392,0.99869776,0.14813957
199,male,1.2491416,-0.10707561,-0.1682346,-0.20592198,-0.6226254,-0.24832126,0.18273622,0.6116798,0.12186744
200,male,0.90502983,-0.36556527,-0.056246787,-0.706035,-0.72695506,-0.22361147,0.34816363,0.2723234,0.17228381
201,male,1.4298936,0.41075838,0.0679469,-0.36183536,-0.56503916,-0.17133524,0.29006347,0.7457514,-0.036760613
202,male,1.1113518,-0.32179192,-0.21077497,-0.3404315,-0.51503277,-0.27201408,0.06885348,0.29560623,0.17411529
203,male,1.141496,-0.2208943,-0.1384259,-0.44831333,-0.6001265,-0.25003916,0.13598256,0.30317247,0.15005973
204,male,1.3165554,-0.26649714,-0.32979137,0.0101194205,-0.60526603,-0.294911,0.05078415,0.58448964,0.1842336
205,male,0.97981423,-0.22208947,-0.018562095,-0.6236563,-0.74304515,-0.20891368,0.40160185,0.43800795,0.14520507
206,male,1.4768378,0.6542625,0.21465164,-0.5032509,-0.6413186,-0.12696473,0.39657405,0.8458139,-0.11593115
207,male,1.5259324,0.5366912,0.0845203,-0.35994318,-0.64043397,-0.16522801,0.24879892,0.8308983,-0.10509414
208,male,1.8830261,0.40124428,-0.3094201,0.41169375,-0.30158842,-0.28003195,-0.21998708,0.82888913,0.006141047
209,male,1.4300613,0.14325927,-0.17684051,0.103753366,-0.19108054,-0.26468593,-0.06955298,0.6000941,0.10662762
210,male,1.2798557,0.6300565,0.32696298,-0.59294164,-0.7752572,-0.08264902,0.7451526,1.1064814,-0.10188358
211,male,1.2906941,0.07318794,-0.037062146,-0.37180737,-0.61733174,-0.22391045,0.17773846,0.48063812,0.110192806
212,male,1.3089308,0.113625616,0.013122776,-0.6939664,-0.4738935,-0.23800209,-0.15716611,-0.061619855,0.063571095
213,male,1.998406,0.37473112,-0.43318388,0.63264996,-0.2974771,-0.30753133,-0.31996906,0.9463191,-0.009217017
