id,gender,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
114,female,0.0011262279,0.09346698,0.33546942,0.08691794,-0.34883547,0.12680385,-0.36409223,0.1464278,-0.006816995
115,female,-0.0022798907,0.14464997,0.41019383,0.06929662,-0.32940054,0.1377671,-0.385381,0.09023284,-0.047071796
116,female,-0.008823406,-0.3245788,0.21496716,0.045776997,-0.3735377,0.09248677,-0.31933838,0.2032082,-0.069502085
117,female,-0.024808643,-0.31067064,0.35504252,0.010321452,-0.31318662,0.1895624,-0.23763004,0.16342986,-0.14499213
118,female,0.00078512856,0.46554688,0.59358156,0.08291423,-0.28489694,0.16920377,-0.3384282,0.0399797,-0.1349068
119,female,0.00180397,0.14404367,0.35586643,0.09254975,-0.36700454,0.033965413,-0.40321723,0.07954986,-0.11181772
120,female,0.016581858,0.30090132,0.45556313,0.10436946,-0.27058494,0.35204834,-0.33221593,0.20933056,0.17956938
121,female,0.025005262,0.12939014,0.411526,0.10294202,-0.24644431,0.47046125,-0.26775238,0.32708043,0.27918208
122,female,0.12685479,1.3720994,0.81747466,0.23956557,-0.123192556,0.7492263,-0.5793691,0.2801344,0.7120574
123,female,0.09694809,1.4611404,0.59547687,0.29687953,-0.24876103,0.4657871,-0.63555443,0.17989568,0.66667753
124,female,0.13108401,1.3789588,0.857337,0.20633252,-0.1174733,0.7542607,-0.5813907,0.30455577,0.7046894
125,female,0.10047691,1.6829637,0.5395483,0.29461068,-0.29460952,0.40623453,-0.7778222,0.1600489,0.84385294
126,female,0.04799173,0.59836775,0.015795141,0.26387745,-0.40195173,0.32885963,-0.56184006,0.37032726,0.8524181
127,female,0.0638345,0.4053232,0.45408347,0.1603349,-0.21744761,0.5864335,-0.38734064,0.35919166,0.5078134
128,female,0.04532557,0.2107288,0.2529671,0.17575404,-0.3062343,0.39606526,-0.38381752,0.3509987,0.4318905
129,female,0.092610255,1.0748419,0.67510533,0.19682783,-0.21589628,0.47797093,-0.55672836,0.20874171,0.45004535
130,female,0.010309013,-0.35938385,0.45470023,0.014342454,-0.2306289,0.41369596,-0.19855873,0.28764632,-0.035695694
131,female,0.033270635,-0.1585161,0.63742864,0.012389855,-0.15448377,0.56929266,-0.18803538,0.3134069,0.010105087
132,female,0.08112937,0.467251,-0.092207596,0.32647082,-0.31171206,0.7781551,-0.46904778,0.6744774,1.3959557
133,female,-0.0040156697,0.061689783,0.43888313,0.0453653,-0.29487523,0.2423797,-0.32459265,0.14841393,-0.0020840536
134,female,-0.014361584,0.14233086,0.40620613,0.06639835,-0.3013343,0.25493723,-0.3166292,0.1367817,0.06685664
135,female,-0.012770486,0.0923091,0.40039957,0.06479191,-0.29796064,0.2655269,-0.30445537,0.15191308,0.060627233
136,female,0.0420916,0.2530064,0.51540345,0.11206654,-0.20254332,0.55805165,-0.2706812,0.338888,0.30408332
137,female,0.02943704,0.30022535,0.46455163,0.11986467,-0.22864087,0.5109843,-0.30695185,0.29327622,0.3397562
138,female,0.037822433,0.32038513,0.5428032,0.10535296,-0.19663393,0.56877816,-0.26704103,0.3274868,0.31552923
139,female,0.09792584,0.6484429,0.8257054,0.1268384,-0.08992728,0.7604181,-0.36896738,0.32748958,0.37152278
140,female,0.032450072,0.25407752,0.4399275,0.13024831,-0.23449312,0.49870965,-0.31518084,0.2934505,0.3303221
141,female,0.0052830023,-0.41113088,0.42628482,0.0058442554,-0.2595304,0.31855693,-0.22842528,0.24395975,-0.11895244
142,female,0.0011033103,0.094258904,0.25531197,0.105537035,-0.30211267,0.40914607,-0.2948331,0.3206305,0.39791277
143,female,0.060397483,0.23432274,-0.17321962,0.28865448,-0.37347925,0.57834375,-0.4854263,0.59850526,1.1853029
144,female,-0.014011625,-0.21358366,-0.30793294,0.21653466,-0.4615071,0.27717584,-0.33567747,0.4680489,0.7575563
145,female,-0.0009032455,-0.3978311,0.38182712,0.008872148,-0.29151285,0.23856081,-0.2535692,0.21561067,-0.14400749
146,female,0.013774468,0.12054323,0.2149759,0.119472355,-0.32007867,0.38678563,-0.39064136,0.30953068,0.47096363
147,female,0.013954305,-0.101445585,0.4853936,0.03622603,-0.24711607,0.35818127,-0.2790397,0.22234055,-0.0057391734
148,female,0.09611515,0.68083936,-0.03724095,0.3772638,-0.25670603,0.9629401,-0.45978627,0.7216137,1.6005607
149,female,-0.00021272112,0.12745678,0.3627365,0.0719515,-0.31638068,0.24715436,-0.36297724,0.17775083,0.13164824
150,female,0.035316978,0.46004993,0.3484215,0.15767394,-0.33038664,0.24694155,-0.4898148,0.1836422,0.29860595
